                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6274,                 3.7288,                 2.0894,                0.61628,                 0.5026,                0.56479,                0.29706,                 1.3974,                 2.6935,                 2.2563,                 0.0739,                 0.0029,                 0.0029
                      1,                 1.3978,                 1.8782,                 1.8563,                 0.6435,                0.58225,                0.68871,                 0.4074,                 1.2809,                 1.9627,                 2.0685,               0.046666,              0.0056664,              0.0056664
                      2,                 1.2824,                 1.5562,                 1.7652,                0.73179,                0.66878,                0.74558,                0.40621,                 1.5233,                 1.5442,                 2.3132,               0.019195,              0.0081951,              0.0081951
                      3,                   1.38,                 1.5128,                 1.8336,                0.18035,                 0.2433,                0.17395,                  0.083,                 1.8872,                 2.9875,                 2.6917,               0.008812,               0.008812,               0.008812
                      4,                 1.3793,                 1.3666,                 1.7927,                0.31927,                0.46534,                0.32294,                0.14336,                 2.2494,                 2.0866,                 2.8986,               0.008812,               0.008812,               0.008812
                      5,                 1.3702,                 1.2817,                 1.7898,                0.41201,                0.43144,                0.36099,                0.17397,                 1.9237,                 2.3645,                 2.5627,               0.008416,               0.008416,               0.008416
                      6,                 1.3678,                 1.2659,                 1.7737,                0.53251,                0.47766,                0.45197,                0.22846,                 1.9993,                 1.8321,                  2.829,                0.00802,                0.00802,                0.00802
                      7,                 1.3735,                 1.3569,                 1.7999,                0.53272,                0.66763,                0.57687,                 0.3111,                 1.5183,                 1.8059,                 2.2674,               0.007624,               0.007624,               0.007624
                      8,                 1.3187,                 1.2563,                 1.7526,                0.57007,                0.56743,                0.57853,                0.29794,                 1.6173,                 1.9876,                 2.4441,               0.007228,               0.007228,               0.007228
                      9,                 1.3499,                 1.2249,                 1.7586,                0.73417,                0.84843,                0.79384,                0.46213,                 1.3728,                   1.33,                 2.1992,               0.006832,               0.006832,               0.006832
                     10,                 1.3477,                 1.1601,                  1.799,                0.62067,                0.65031,                0.68177,                 0.3915,                 1.5734,                 1.4609,                 2.2807,               0.006436,               0.006436,               0.006436
                     11,                 1.2742,                 1.0861,                 1.7328,                0.60132,                0.72893,                0.71388,                0.38679,                 1.5767,                 1.6052,                 2.3347,                0.00604,                0.00604,                0.00604
                     12,                 1.2918,                 1.0677,                 1.7241,                0.52643,                0.52307,                0.57153,                0.29021,                 1.5311,                 1.7245,                 2.2361,               0.005644,               0.005644,               0.005644
                     13,                 1.2246,                 1.0189,                 1.6656,                0.68161,                0.69365,                  0.748,                0.41115,                 1.4145,                 1.3837,                 2.1932,               0.005248,               0.005248,               0.005248
                     14,                 1.2112,                0.99505,                 1.6554,                0.60048,                 0.8085,                0.79052,                0.40307,                 1.5978,                 1.3315,                 2.3623,               0.004852,               0.004852,               0.004852
                     15,                 1.2563,                0.94681,                 1.8934,                0.67801,                0.68641,                0.72441,                0.40941,                 1.6422,                 1.5042,                 2.4232,               0.004456,               0.004456,               0.004456
                     16,                 1.1886,                0.82954,                 1.8368,                 0.7925,                0.77251,                0.83615,                0.47602,                 1.4976,                 1.1825,                 2.3246,                0.00406,                0.00406,                0.00406
                     17,                 1.1378,                0.82508,                  1.812,                 0.6489,                0.85145,                0.77424,                0.42908,                 1.4722,                 1.2728,                 2.2814,               0.003664,               0.003664,               0.003664
                     18,                  1.123,                0.79788,                 1.8019,                0.82884,                0.75696,                0.86583,                0.52154,                 1.3156,                 1.0333,                 2.0828,               0.003268,               0.003268,               0.003268
                     19,                 1.1228,                 0.7469,                 1.7462,                0.77464,                0.83736,                0.88382,                0.57465,                 1.1981,                0.93499,                 1.9422,               0.002872,               0.002872,               0.002872
                     20,                 1.0428,                0.71609,                 1.6857,                0.83809,                0.76703,                0.86473,                0.53866,                 1.2596,                0.90635,                 2.0352,               0.002476,               0.002476,               0.002476
                     21,                0.99647,                0.66487,                 1.6363,                0.83228,                0.80792,                0.89121,                0.57214,                  1.195,                0.91577,                 1.9414,                0.00208,                0.00208,                0.00208
                     22,                0.95788,                0.61357,                 1.5969,                 0.8047,                 0.9131,                 0.9076,                0.58971,                 1.1755,                0.86451,                 1.9173,               0.001684,               0.001684,               0.001684
                     23,                0.98264,                 0.6045,                 1.6289,                0.82152,                0.91973,                0.90961,                0.58547,                 1.2276,                0.89423,                 1.9838,               0.001288,               0.001288,               0.001288
                     24,                0.90558,                0.56238,                 1.5424,                  0.806,                0.90907,                0.90987,                0.60851,                  1.133,                0.82023,                 1.8794,               0.000892,               0.000892,               0.000892
